id;kvk;naam;type;identifier
e988a0ef-6f7a-4b47-9357-b15f6fd83b46;23058363;bouwtechnisch adviesbuerau Ir T Stam;Overig;
c7c569fe-e913-48a9-9887-ce5c9a69a795;23087854;Ingenieursbureau BT Geoconsult B.V.;Overig;
445c2007-7716-4789-a570-1ce67a362590;24143025;Boskalis Nederland B.V.;Overig;
6d96c546-0d24-4e80-b88e-8fc2b166391a;24161143;RPS Advies- en Ingenieursbureau B.V.;Overig;
f17608f3-9f8e-4e31-a190-615f9b820486;24257098;Mos Grondmechanica B.V.;Overig;
31cf7e2c-982e-4d61-98fc-aeeb34beaef2;24277837;DEME Infra Marine Contractors B.V.;Overig;
ab279c6d-33f2-41f0-97f4-833b35df77d9;24289439;Mobilis B.V.;Overig;
87e7c958-3d81-4074-9ae1-bef83e0076e6;24316426;Adviesbureau C.G.M. Schrijvers B.V.;Overig;
3ac16009-18b7-4d14-99c4-4bc2880929be;24347782;BAM Infra B.V.;Overig;
a363aaa0-9ab9-4edf-b7e0-0f970561a2dc;24428291;Acacia Water B.V.;Overig;
89afd75b-522c-4284-8fcc-a0f28c19084c;24431723;Inventerra;Overig;
466aedc9-1e6e-4d2d-8200-d65a4f9cd0ba;24450933;De Vries & Van de Wiel Kust- en Oeverwerken B.V.;Overig;
63558712-df11-4fc7-bbdf-da37a2d65f8d;24482458;Gemeente Waddinxveen;Gemeente;GM0627
e76fa97a-8f81-44e0-bb22-69b33daf5395;24483056;Gemeente Korendijk;Overig;
0a205224-9b3e-43f6-90a5-3da77349fbbb;24483298;Gemeente Rotterdam;Gemeente;GM0599
3d1cd776-ee43-4f1a-9109-25200e761816;24483621;Gemeente Papendrecht;Gemeente;GM0590
219c9a22-1f5c-46a7-9a0e-fb1ec328c9a6;24483633;Gemeente Oud-Beijerland;Overig;
e5ec05fb-60db-41d7-83a4-448b3254934f;24484110;Gemeente Maassluis;Gemeente;GM0556
6fc1fe5e-3096-485c-b4ae-9f07f1a3d21d;24485270;Gemeente Vlaardingen;Gemeente;GM0622
90e03b0f-abea-49ca-aad6-27a2895f2f13;24485569;Gemeente Strijen;Overig;
c67b5f5b-fcb3-4129-a903-ecf5fac40982;24485644;Gemeente Binnenmaas;Overig;
e9adf844-bcb2-4403-994a-619d2e70a97d;24487063;Gemeente Gouda;Gemeente;GM0513
2776e4b9-f658-424c-9831-a2017b48676a;24488714;Gemeente Hendrik-Ido-Ambacht;Gemeente;GM0531
36beac6e-2a0a-4ff6-af69-057b4bbd9279;24488726;Gemeente Sliedrecht;Gemeente;GM0610
604c0b6e-8fce-4a51-961e-6c1f1f7c0e1e;24490491;Gemeente Zwijndrecht;Gemeente;GM0642
0559fb81-c13c-4651-9b43-fe4a975ebda3;24493197;Gemeente Ridderkerk;Gemeente;GM0597
843e7819-5702-4d4f-9fbb-2ac0dca4c33e;24494374;Gemeente Barendrecht;Gemeente;GM0489
0b26c522-71d4-4294-ae1b-00efbbb56e13;24494625;Gemeente Cromstrijen;Overig;
7989b199-f87f-406a-b57c-83de5dd4ae46;27114147;Fugro NL Land B.V;Overig;
2b357d5c-2b46-4da5-b340-2de78baa5621;27122974;Dunea N.V.;Overig;
96741a5e-cc63-4408-a83f-9c7a8ab7a334;27177140;ATKB B.V.;Overig;
64071034-7b6b-4fd9-ba73-af2f3de2f96b;27184323;Stantec;Overig;
f2c9a747-4278-40f6-a6f1-7078a8d3aa55;27184822;Geosonda BV;Overig;
a8591ef5-b46d-49b2-bcf5-76c1e4720a20;27198742;Stichting ICTU;Overig;
faefafd0-caec-4cd7-8867-279ba7f23c45;27227624;Van Essen Instruments B.V.;Overig;
d923d17b-8572-4ac4-bff6-6c6da1bb6278;27239531;TerraIndex B.V.;Overig;
6f5b50ce-2187-4441-89d7-449a7e4f51f1;27279653;KWR Water B.V.;Overig;
60ddc4cc-0e90-4d96-951c-9a7054a63974;27313745;Munisense BV;Overig;
d5c34441-3f00-4229-b090-ff8c87521911;27363529;Gemeente Zoeterwoude;Gemeente;GM0638
22b51d1a-fed1-454d-8eba-e2623c3c1061;27363838;Gemeente Hillegom;Gemeente;GM0534
3f90784d-d016-4e32-a5dc-bd137f46ad89;27364127;Gemeente Leiderdorp;Gemeente;GM0547
26c888ea-9b01-41e6-94e8-17e84ce1afa4;27364167;Gemeente Teylingen;Gemeente;GM1525
a95fa3e1-8c89-40b0-803f-1940684c24e6;27364178;Rijkswaterstaat;Overig;
55c78c40-fe8c-4cee-a1eb-2ec03069bc5d;27364192;Gemeente Leiden;Gemeente;GM0546
5fabd1a6-8377-4c47-b846-f9b41786eb4b;27364328;Gemeente Nieuwkoop;Gemeente;GM0569
c14dcf9f-6e59-455b-9be3-3ac989486b3a;27365912;Gemeente Pijnacker-Nootdorp;Gemeente;GM1926
210e9a92-06de-4aa5-b572-5bc7b5774b83;27366643;Gemeente Lansingerland;Gemeente;GM1621
e7439a4c-0bcb-4584-910c-3948d2a0f9ad;27367348;Rijksdienst voor het Cultureel Erfgoed;Overig;
0e9e69e8-cfc7-4012-b24f-384a23fdb167;27369098;Gemeente Kaag en Braassem;Gemeente;GM1884
f0582b24-f3f6-4abc-91d1-2bc119cb930a;27370601;Gemeente Midden-Delfland;Gemeente;GM1842
ec4d47f8-5891-47ea-9f01-718fbe3bddbf;27370927;Gemeente 's-Gravenhage;Gemeente;GM0518
ee351c70-8899-4500-b4ee-d0ad2c48940c;27370940;Gemeente Leidschendam-Voorburg;Gemeente;GM1916
d7352fe4-26d4-4eff-9148-23f24831a71b;27370956;Gemeente Katwijk;Gemeente;GM0537
d7b6bf15-a5b1-4b3a-9c59-7d104df6b703;27370966;Gemeente Lisse;Gemeente;GM0553
c88cb98c-9204-41f7-ac86-bf4f3785d437;27371717;Gemeente Westland;Gemeente;GM1783
64eab849-c907-4c04-8375-fbce0215dc0b;27374588;Gemeente Delft;Gemeente;GM0503
3d409eec-76f2-4d22-b2e9-f7dd3693cfb5;27375169;Provincie Zuid-Holland;Provincie;PV28
7b3f37fa-9ade-40b1-a5f7-39f26783badf;27375186;Gemeente Alphen aan den Rijn;Gemeente;GM0484
